ID,Posted at,Screen name,Text
525271202516852000,2014-10-23 13:03:08 +0000,OKearthquakes,"Magnitude 3.1 at 2014-10-23 02:06:03.088999 (CDT) 5.1 miles SE of Jefferson; 36.680,-97.715,z=3.9km"
525018309549240000,2014-10-22 20:18:14 +0000,OKearthquakes,"Magnitude 2.2 at 2014-10-22 14:53:12.569000 (CDT) 3.8 miles SE of Orlando; 36.102,-97.343,z=5.6km"
525010745835003000,2014-10-22 19:48:10 +0000,OKearthquakes,"Magnitude 2.1 at 2014-10-22 14:12:19.803000 (CDT) 1.2 miles S of Seward; 35.781,-97.485,z=7.2km"
524995673213521000,2014-10-22 18:48:17 +0000,OKearthquakes,"Magnitude 2.3 at 2014-10-22 13:17:21.515999 (CDT) 4.2 miles ENE of Nash; 36.684,-97.978,z=4.3km"
524988076905349000,2014-10-22 18:18:06 +0000,OKearthquakes,"Magnitude 2.3 at 2014-10-22 12:46:17.594000 (CDT) 4.5 miles S of Guthrie; 35.814,-97.422,z=5.4km"
524973014341808000,2014-10-22 17:18:14 +0000,OKearthquakes,"Magnitude 2.5 at 2014-10-22 11:19:26.082000 (CDT) 3.9 miles NW of Quinlan; 36.501,-99.087,z=7.7km"
524969207901851000,2014-10-22 17:03:07 +0000,OKearthquakes,"Magnitude 2.8 at 2014-10-22 11:04:47.659999 (CDT) 4.0 miles N of Quinlan; 36.512,-99.045,z=5.0km"
524965274470977000,2014-10-22 16:47:29 +0000,OKearthquakes,"Magnitude 2.1 at 2014-10-22 11:04:49.896000 (CDT) 8.1 miles N of Calumet; 35.716,-98.144,z=5.0km"
524961569348657000,2014-10-22 16:32:46 +0000,OKearthquakes,"Magnitude 3.5 at 2014-10-22 10:58:22.266999 (CDT) 3.4 miles NNW of Quinlan; 36.503,-99.060,z=6.9km"
524953945395834000,2014-10-22 16:02:28 +0000,OKearthquakes,"Magnitude 2.0 at 2014-10-22 09:46:10.028000 (CDT) 4.0 miles ENE of Orlando; 36.163,-97.309,z=8.7km"
524946573990436000,2014-10-22 15:33:10 +0000,OKearthquakes,"Magnitude 2.9 at 2014-10-22 10:03:35.917000 (CDT) 6.9 miles NNE of Guthrie; 35.967,-97.369,z=3.8km"
524935146932158000,2014-10-22 14:47:46 +0000,OKearthquakes,"Magnitude 2.3 at 2014-10-21 22:45:55.819000 (CDT) 4.0 miles N of Quinlan; 36.512,-99.042,z=5.0km"
524931486592421000,2014-10-22 14:33:13 +0000,OKearthquakes,"Magnitude 2.4 at 2014-10-22 08:30:16.051999 (CDT) 5.5 miles N of McWillie; 36.615,-98.360,z=5.0km"
524927666760065000,2014-10-22 14:18:03 +0000,OKearthquakes,"Magnitude 2.6 at 2014-10-22 08:31:37.078000 (CDT) 7.0 miles SSE of Mulhall; 35.967,-97.370,z=3.4km"
524923763301687000,2014-10-22 14:02:32 +0000,OKearthquakes,"Magnitude 2.1 at 2014-10-22 03:14:56.262000 (CDT) 0.5 miles SSW of Salt Fork; 36.628,-97.592,z=4.5km"
524916345385652000,2014-10-22 13:33:03 +0000,OKearthquakes,"Magnitude 2.4 at 2014-10-22 03:25:54.685000 (CDT) 3.8 miles SW of Sumner; 36.288,-97.177,z=3.2km"
